,Model,32-bit,16-bit,8-bit
4,beitv2_large_patch16_224,0.8742,0.8742,0.8731
6,hgnetv2_b6,0.8564,0.8563,0.8513
13,convnextv2_base,0.8505,0.8503,0.8329
34,hgnetv2_b2,0.8118,0.8119,0.7919
35,hgnetv2_b3,0.8219,0.822,0.812
36,hgnetv2_b4,0.8281,0.828,0.8202
37,hgnetv2_b5,0.841,0.841,0.8358
39,rexnet_150,0.794,0.7939,0.7779
46,levit_256,0.806,0.806,0.7618
47,levit_conv_128,0.7783,0.7782,0.7143
48,levit_conv_192,0.7901,0.7901,0.7596
49,levit_conv_256,0.806,0.8059,0.7619
53,mobilenetv3_large_100,0.749,0.7491,0.7297
54,mobilenetv4_hybrid_medium,0.8033,0.8032,0.7556
55,mixnet_xl,0.7952,0.7951,0.7883
59,repghostnet_058,0.6759,0.6761,0.638
62,repghostnet_111,0.7406,0.7407,0.7347
65,fbnetv3_d,0.7786,0.7788,0.7195
69,hardcorenas_f,0.7728,0.7728,0.7489
70,hardcorenas_e,0.7717,0.7717,0.7333
71,hardcorenas_c,0.7622,0.7624,0.7189
73,ghostnet_100,0.7276,0.7275,0.7235
74,eva_giant_patch14_224,0.8827,0.8827,0.8826
