,Model,32-bit,16-bit,8-bit
4,beitv2_large_patch16_224,119.362,59.681,29.8405
6,hgnetv2_b6,33.7418,16.8709,8.43545
13,convnextv2_base,30.7624,15.3812,7.6906
34,hgnetv2_b2,2.2876,1.1438,0.5719
35,hgnetv2_b3,3.5568,1.7784,0.8892
36,hgnetv2_b4,5.4879,2.74395,1.371975
37,hgnetv2_b5,13.1088,6.5544,3.2772
39,rexnet_150,1.7806,0.8903,0.44515
46,levit_256,2.1024,1.0512,0.5256
47,levit_conv_128,0.73222,0.36611,0.183055
48,levit_conv_192,1.1991,0.59955,0.299775
49,levit_conv_256,2.1025,1.05125,0.525625
53,mobilenetv3_large_100,0.444348,0.222174,0.111087
54,mobilenetv4_hybrid_medium,1.9003,0.95015,0.475075
55,mixnet_xl,1.8503,0.92515,0.462575
59,repghostnet_058,0.12855699,0.064278499,0.03213924
62,repghostnet_111,0.355465,0.1777325,0.08886625
65,fbnetv3_d,1.021,0.5105,0.25525
69,hardcorenas_f,0.697535,0.3487675,0.17438375
70,hardcorenas_e,0.691573,0.3457865,0.17289325
71,hardcorenas_c,0.552636,0.276318,0.138159
73,ghostnet_100,0.291874,0.145937,0.0729685
74,eva_giant_patch14_224,519.392,259.696,129.848
